objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Galileo Project","352823","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138214545","6.01909","7.31189","2.7742","3022","2460","thing","Galileo Project","2","4","80","80","40","2022","2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","10.71","USD","","","2025-11-04","miniaturemarket.com","1","","","","","","",""
"The Gang","411567","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","125960625","7.03567","7.57445","1.5603","450","13583","thing","The Gang","3","6","20","20","20","2024","4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Gentle Rain","334011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134555307","6.56478","7.6309","1.1136","1159","8019","thing","A Gentle Rain","1","1","15","15","15","2024","1","1","5+","No necessary in-game text","","","","","","standalone","","15.99","USD","","","2025-07-22","Cardhaus.com","","","","","Incredible Dream Studios","English","2024","English Bloom edition"
"Ginkgopolis","128271","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122990468","7.06496","7.48501","2.9108","424","10309","thing","Ginkgopolis","1","5","45","45","45","2021","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","36.49","USD","","","2025-07-08","Amazon.com","","","","","Pearl Games","English","2021","English second edition"
"Glasgow","301716","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","132844655","6.30495","7.10388","2.0159","1822","5325","thing","Glasgow","2","2","30","30","30","2020","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Goblin Vaults","334652","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133002556","5.81175","7.16384","2.1579","4588","1533","thing","Goblin Vaults","1","5","45","45","30","2023","1,2,3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Goblin Vaults: Chaos & Order Promo Card","380732","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133002558","0","7.25","0","0","249","thing","Goblin Vaults: Chaos & Order Promo Card","1","5","45","45","30","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Goblin Vaults: Gundur Pack","439928","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133002566","0","7.7875","2","0","154","thing","Goblin Vaults: Gundur Pack","1","5","0","0","0","2025","1","1","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Good Omens: An Ineffable Game","388745","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140940764","5.49168","5.2475","1.5","26893","189","thing","Good Omens: An Ineffable Game","2","4","30","30","15","2023","","","","","","","","","","standalone","","0.99","USD","","","2025-11-24","miniaturemarket.com","1","","","","Renegade Game Studios","English","2023","English edition"
"La Granja: Deluxe Master Set","341945","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157605","6.83815","8.22602","3.4737","700","6644","thing","La Granja: Deluxe Master Set","1","4","120","120","90","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","44.97","USD","","","2025-08-22","gamenerdz.com","","","","","","","",""
"The Great Split","366752","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","125677414","6.25094","6.98635","2.0328","2003","3386","thing","The Great Split","2","7","45","45","45","2022","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Guild of Merchant Explorers","350933","8.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","109763073","7.126","7.63573","2.0466","364","11413","thing","The Guild of Merchant Explorers","1","4","45","45","45","2022","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Hadrian's Wall","304783","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134574844","7.41305","7.88334","3.1592","166","17148","thing","Hadrian's Wall","1","6","60","60","30","2021","1,2,3","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","41.99","USD","","","2025-07-24","Tabletopmerchant.com","","","","","Garphill Games","English","2021","English first edition"
"Hanabi","98778","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","125959532","6.92248","7.03023","1.6904","588","89249","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Harmonies","414317","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","127292360","7.72841","8.02904","2.0111","63","43064","thing","Harmonies","1","4","45","45","30","2024","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","29.99","USD","","","2025-01-22","Cardhaus.com","1","","","","Libellud","English","2024","English edition"
"Herbaceous","195314","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130654510","6.55362","6.99229","1.2184","1178","11790","thing","Herbaceous","1","4","20","20","15","2017","1,2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Herd Mentality","311322","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004089","6.12993","6.60943","1","2486","9191","thing","Herd Mentality","4","20","30","30","20","2020","5,6,7,8,9,10,11,12,13,14","7,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"High Society","220","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133994715","6.96455","7.1929","1.4806","534","24022","thing","High Society","3","5","30","30","15","2018","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","16.8","USD","","","2025-07-01","Ospreypublishing.com","","","","","Osprey Games","English","2018","Osprey English edition"
"Horrified","282524","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127062815","7.29931","7.59663","2.0179","237","38508","thing","Horrified","1","5","60","60","60","2019","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hot Streak","446497","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","133004400","6.87856","8.0158","1.25","636","5255","thing","Hot Streak","2","9","20","20","20","2025","3,4,5,6,7,8","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Hunger","339906","7.5","4","0","1","0","0","0","0","0","0","0","2","","","","","","127103870","6.41112","7.01713","2.3103","1539","8183","thing","The Hunger","2","6","60","60","60","2021","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","36.99","USD","","","2025-01-22","Cardhaus.com","1","","","","Renegade Game Studios","English","2021","English edition"
"The Hunger: High Stakes","358559","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133564629","5.64531","7.73696","2.6","0","1307","thing","The Hunger: High Stakes","2","6","60","60","60","2022","2,3,4,5","3","","","","","","","","expansion","","20.49","USD","","","2025-06-23","Tabletopmerchant.com","","","","","Renegade Game Studios","English","2022","English edition"
"Imperial Steam","338760","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134714935","6.67197","7.72918","4.2062","946","5098","thing","Imperial Steam","2","4","120","120","120","2021","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","29","USD","","","2025-07-28","Amazon.com","","","","","Capstone Games","English","2021","English edition"
"Imperium: Horizons","367518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133994714","6.67259","8.5214","3.9556","945","5154","thing","Imperium: Horizons","1","4","160","160","40","2024","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","56","USD","","","2025-07-01","Ospreypublishing.com","","","","","Osprey Games","English","2024","English edition"
"Imperium: Legends","318182","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133994711","7.02677","7.84188","3.7538","460","12829","thing","Imperium: Legends","1","4","160","160","40","2021","1,2","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","14.4","USD","","","2025-07-01","Ospreypublishing.com","","","","","Osprey Games","English","2021","English edition"
"Infinity Gauntlet: A Love Letter Game","304285","7","6","0","1","0","0","0","0","0","0","0","3","","","","","","122070165","6.36265","6.91789","1.2273","1658","10119","thing","Infinity Gauntlet: A Love Letter Game","2","6","15","15","15","2020","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Inis","155821","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125959933","7.53062","7.81415","2.9413","120","28901","thing","Inis","2","4","90","90","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation Ultimate","388367","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","135013518","6.44691","8.48677","3.1875","1436","3104","thing","Innovation Ultimate","2","5","60","60","30","2025","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Asmadi Games","English","2025","English edition"
"It's a Wonderful World","271324","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","135086284","7.39086","7.63349","2.3289","182","29260","thing","It's a Wonderful World","1","5","45","45","45","2021","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","36.69","USD","","","2025-08-06","LuckyDuckGames.com","","","","","La Boîte de Jeu; Origames","English","2021","English edition 2021"
"It's a Wonderful World: Corruption & Ascension","298851","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086332","6.69527","8.1297","2.6098","0","9226","thing","It's a Wonderful World: Corruption & Ascension","1","7","45","45","45","2021","1,2,3,4,5,6,7","3,4,5","12+","No necessary in-game text","","","","","","expansion","","27.99","USD","","","2025-08-06","Tabletopmerchant.com","","","","","La Boîte de Jeu; Lucky Duck Games; Origames","English","2021","English edition"
"It's a Wonderful World: Leisure & Decadence","334767","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135086354","5.81168","8.09452","2.4286","0","2492","thing","It's a Wonderful World: Leisure & Decadence","1","5","60","60","30","2023","1,2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","31.99","USD","","","2025-08-06","Tabletopmerchant.com","","","","","La Boîte de Jeu; Lucky Duck Games; Origames","English","2023","English second edition"
"Jaipur","54043","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133248205","7.36292","7.48077","1.4642","203","93600","thing","Jaipur","2","2","30","30","30","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","19.99","USD","","","2025-06-13","Gamersguildaz.com","","","","","Space Cowboys","English","2022","English edition 2022"
"Jekyll vs. Hyde","297129","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","133908482","6.65212","7.1763","1.8582","991","9537","thing","Jekyll vs. Hyde","2","2","30","30","30","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Junk Drawer","362366","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","133006806","5.83667","6.97912","1.1765","4354","1120","thing","Junk Drawer","1","4","25","25","15","2023","1,2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Junk Drawer: Promo Goals","408116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006810","0","6.5745","0","0","156","thing","Junk Drawer: Promo Goals","1","4","20","20","20","2023","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kemet: Blood and Sand","297562","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135627616","7.19398","7.91574","3.1893","308","11213","thing","Kemet: Blood and Sand","2","5","180","180","90","2021","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","59.99","USD","","","2025-08-21","Tabletopmerchant.com","","","","","Matagot","English","2021","English edition"
"Keyflower","122515","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","133628498","7.50515","7.71314","3.3343","130","27983","thing","Keyflower","2","6","120","120","90","2012","2,3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Rush: Elemental Uprising","328555","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004903","5.77013","7.86445","3.4","5100","1991","thing","Kingdom Rush: Elemental Uprising","1","4","90","90","45","2023","1,2,3","2","","No necessary in-game text","","","","","","standalone","","34.99","USD","","","2025-05-07","Cardhaus.com","","","","","","","",""
"Kingdomino","204583","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006832","7.17173","7.29023","1.2353","325","89474","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kiri-ai: The Duel","387769","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157668","5.80132","7.03476","1.4286","4712","1835","thing","Kiri-ai: The Duel","2","2","10","10","5","2023","2","2","8+","No necessary in-game text","","","","","","standalone","","8.97","USD","","","2025-08-07","gamenerdz.com","","","","","","","",""
"Kites","348096","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","122990821","6.34058","6.86372","1.058","1722","8053","thing","Kites","2","6","10","10","10","2022","2,3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Knarr","379629","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125959596","6.97602","7.4717","1.8971","517","11878","thing","Knarr","2","4","30","30","30","2023","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Koi","436161","7.9","1","0","1","0","0","0","0","0","0","0","3","","","","","","136157599","5.72719","7.66825","2.1538","5706","979","thing","Koi","1","4","45","0","45","2025","1,2,3,4","3","10+","","","","","","","standalone","","28.97","USD","","","2025-08-23","gamenerdz.com","","","","","DV Games","English","2025","English edition"
"Lacuna","386937","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","133908486","6.41999","7.36365","1.1","1510","5071","thing","Lacuna","2","2","15","15","10","2023","2","2","6+","No necessary in-game text","","","","","","standalone","","34.99","USD","","","2023-08-05","Amazon.com","","","","","CMYK","English","2023","English edition"
"Last Light: Infinity","381132","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135460712","5.67901","7.62673","3","0","1779","thing","Last Light: Infinity","2","8","90","90","60","2023","3,4,6,7,8","4","","","","","","","","expansion","","54.68","USD","","","2025-08-15","Tabletopmerchant.com","","Deluxe edition","","","Grey Fox Games","English","2023","English standard edition"
"Leviathan Wilds","358737","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133247743","6.62822","7.88962","2.4839","1033","5906","thing","Leviathan Wilds","1","4","90","90","45","2024","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Leviathan Wilds: Deepvale","427282","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133247746","5.61199","8.39257","0","0","2062","thing","Leviathan Wilds: Deepvale","1","4","90","90","45","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Libertalia: Winds of Galecrest","356033","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004344","6.98182","7.44105","2.1921","512","14698","thing","Libertalia: Winds of Galecrest","1","6","60","60","45","2022","1,2,3,4,5,6","4,5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Town","241266","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133006341","6.56559","7.14572","1.9507","1157","8421","thing","Little Town","2","4","60","60","30","2017","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Long Shot: The Dice Game","295374","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134574892","7.13535","7.53883","1.9434","355","18356","thing","Long Shot: The Dice Game","1","8","25","25","25","2022","1,2,3,4,5,6,7,8","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","21.99","USD","","","2025-07-24","Tabletopmerchant.com","","","","","Perplext","English","2022","English edition"
"The Lord of the Rings: Duel for Middle-earth","421006","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","124347839","7.94158","8.35821","2.0647","27","35970","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","24.5","USD","","","2025-07-03","Manyrealms.com","","","","","Repos Production","English","2024","English edition"
"Lords of Vegas","375769","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","133363076","5.89908","8.04024","2.5714","0","1182","thing","Lords of Vegas","2","6","90","90","60","2024","3,4,5,6","4,5","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Vegas: Underworld","306445","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133363090","5.62691","7.65345","2.3333","0","1375","thing","Lords of Vegas: Underworld","2","6","90","90","60","2021","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","127061784","7.91047","8.07916","2.9329","30","83105","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","49.95","USD","","","2025-01-22","Cardhause.com","1","","","","","","",""
"Love Letter","277085","6.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","109734182","7.17428","7.50538","1.1149","320","29644","thing","Love Letter","2","6","20","20","20","2019","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"LUNA Capital","323613","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134648879","6.19415","7.07786","2.2394","2233","5075","thing","LUNA Capital","1","4","45","45","45","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","27.97","USD","","","2025-07-26","Gamenerdz.com","","","","","Devir","Catalan; English; Italian; Portuguese; Spanish","2021","Multilingual edition"
"Machi Koro 2","340364","7.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","124685930","6.27845","7.1004","1.5581","1908","6158","thing","Machi Koro 2","2","5","45","45","45","2021","2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight: Ultimate Edition","248562","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","125960218","7.97243","8.84814","4.6577","0","20702","thing","Mage Knight: Ultimate Edition","1","5","150","150","150","2018","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Noir","293941","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136157639","5.60273","7.21085","2.8182","9099","652","thing","Mage Noir","2","2","30","30","15","2022","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","22.97","USD","","","2025-08-15","gamenerdz.com","","","","","","","",""
"Magnate: The First City","258242","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137610251","5.92082","7.46266","3.1379","3654","1559","thing","Magnate: The First City","1","5","120","120","60","2021","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","31.16","USD","","","2025-10-21","miniaturemarket.com","1","","","","","","",""
"Marvel Dice Throne: Black Widow v. Doctor Strange","360152","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134648939","5.96531","7.87079","2.4","3344","2717","thing","Marvel Dice Throne: Black Widow v. Doctor Strange","2","2","30","30","30","2022","2","2","8+","","","","","","","standalone","","16.97","USD","","","2025-07-23","Gamenerdz.com","","","","","The Op Games; Roxley","English","2022","English edition"
"Marvel United","298047","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124754013","7.17265","7.54565","1.841","324","28443","thing","Marvel United","1","4","40","40","40","2020","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mercurial: Deluxe Edition","317940","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135573606","5.75342","6.98875","3.2093","5314","1785","thing","Mercurial","1","4","90","90","45","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","41.99","USD","","","2025-05-07","Cardhaus.com","1","","","","Hyperlixir","English","2023","Kickstarter edition"
"Minos: Dawn of the Bronze Age","423401","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138229056","6.25498","7.5497","3.6842","1983","2888","thing","Minos: Dawn of the Bronze Age","1","4","150","150","90","2024","1,2,3","2","12+","No necessary in-game text","","","","","","standalone","","34.97","USD","","","2025-11-04","Gamenerdz.com","","","","","Board&Dice","English","2024","English edition"
"Mistborn Deckbuilding Game: Vin The Prodigy Gen Con Promo Card","428356","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004361","0","8.06667","0","0","131","thing","Mistborn Deckbuilding Game: Vin The Prodigy Gen Con Promo Card","1","4","0","0","0","2024","1,2,3","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mistborn: House War","182626","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","Missing favor and ruin token","122807088","5.69101","6.76836","2.7647","6385","1392","thing","Mistborn: House War","3","5","120","120","60","2017","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mistborn: House War – Hoid Promo Card","368598","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003921","0","10","0","0","11","thing","Mistborn: House War – Hoid Promo Card","0","0","0","0","0","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mistborn: The Deckbuilding Game","422780","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","127488386","6.51777","7.70988","2.678","1262","5891","thing","Mistborn: The Deckbuilding Game","1","4","60","60","30","2024","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mistborn: The Siege of Luthadel","208122","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003932","0","7.81765","0","0","375","thing","Mistborn: The Siege of Luthadel","3","5","120","120","60","2021","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"MLEM: Space Agency","387378","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","128525491","6.63876","7.16484","1.7206","1017","9772","thing","MLEM: Space Agency","2","5","60","60","30","2024","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mondrian: Color in Motion","357667","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","136181917","5.54651","7.20444","1.5","13485","194","thing","Mondrian: Color in Motion","1","5","60","60","30","2022","1,2,3","2","8+","","","","","","","standalone","","30","USD","","","2025-08-29","Saltcon","","","","","Binary Cocoa","English","2022","English edition"
"Money!","125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133217024","6.15192","6.59867","1.559","2380","5876","thing","Money!","2","5","30","30","15","1999","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly Deal","164840","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134039061","5.8936","6.363","1.2791","3865","8615","thing","Monopoly Deal","2","3","15","15","15","2014","2,3","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","3.5","USD","","","2025-07-03","Manyrealms.com","","","","","Cartamundi; Hasbro","English","2014","English edition"
"MonsDRAWsity","283212","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133004033","6.03505","7.06562","1.0741","2939","2996","thing","MonsDRAWsity","3","8","30","30","5","2020","4,5,6,7,8","6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon Colony Bloodbath","425549","8.2","4","0","1","0","0","0","0","0","0","0","3","","","","","","134645479","6.64127","7.61383","2.1833","1013","4405","thing","Moon Colony Bloodbath","1","5","90","90","45","2025","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","34.97","USD","","","2025-07-26","Gamenerdz.com","","","","","Rio Grande Games","English","2025","English edition"
"Mottainai","175199","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123170532","6.51878","7.04251","3.1728","1259","8438","thing","Mottainai","2","5","30","30","15","2015","2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin Steampunk","164031","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","133013247","5.64418","6.47122","1.8571","7530","1986","thing","Munchkin Steampunk","3","6","90","90","60","2015","2,3,4,5","4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"My City","295486","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125959682","7.25176","7.58762","1.9888","263","24683","thing","My City","2","4","30","30","30","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"My Favourite Things","188530","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","131888827","5.95639","7.19296","1.4","3404","1671","thing","My Favourite Things","3","6","30","30","30","2025","3,4,5,6","4","","No necessary in-game text","","","","","","standalone","","16.99","USD","","","2025-05-07","Cardhaus.com","1","","","","Play For Keeps","English","2025","English second edition"
"Mycelia","378476","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134201870","6.09575","7.34597","2.451","2635","3548","thing","Mycelia","1","4","90","90","40","2024","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","43.04","USD","","","2025-06-13","Gamersguildaz.com","","","","","Burnt Island Games; Split Stone Games","English","2024","English edition"
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133003959","7.05438","7.19569","1.8899","435","82378","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale: Essential Edition","308762","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125960103","6.08802","7.81335","2.35","0","2456","thing","Mystic Vale: Essential Edition","2","4","60","60","45","2020","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Naishi","423648","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","135634354","6.0769","7.61502","2.1429","2734","1697","thing","Naishi","2","2","20","20","20","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","19.97","","","","2025-09-05","gamenerdz.com","","","","","","","",""
"Nanga Parbat","300305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134202608","5.9243","6.78878","1.8387","3629","1763","thing","Nanga Parbat","2","2","30","30","30","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","8.33","USD","","","2025-05-29","Dr. Finn's Games","","","","","Dr. Finn's Games","English","2021","English edition"
"Nanty Narking","249746","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134903794","6.41036","7.45237","2.3226","1541","4503","thing","Nanty Narking","2","4","60","60","60","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","28.87","USD","","","2025-08-02","gamenerdz.com","1","","","","","","",""
